EmployeeNumber,Age,Department,OverTime,Nivel_Risco,Probabilidade
518,19,Human Resources,Yes,🔴 CRÍTICO,0.9139607
30350,20,Research & Development,Yes,🔴 CRÍTICO,0.91375965
32456,37,Research & Development,Yes,🔴 CRÍTICO,0.91369575
5500,23,Sales,Yes,🔴 CRÍTICO,0.91359586
12222,40,Research & Development,Yes,🔴 CRÍTICO,0.91346216
11673,29,Human Resources,Yes,🔴 CRÍTICO,0.91340524
10474,30,Research & Development,Yes,🔴 CRÍTICO,0.91326773
16662,26,Sales,Yes,🔴 CRÍTICO,0.913256
26139,46,Sales,Yes,🔴 CRÍTICO,0.91325194
13669,28,Research & Development,Yes,🔴 CRÍTICO,0.91310114
46944,58,Research & Development,Yes,🔴 CRÍTICO,0.91287
19112,39,Sales,Yes,🔴 CRÍTICO,0.91261905
8399,22,Research & Development,Yes,🔴 CRÍTICO,0.91258496
37312,25,Research & Development,Yes,🔴 CRÍTICO,0.9122339
47029,32,Sales,Yes,🔴 CRÍTICO,0.912189
7342,49,Sales,Yes,🔴 CRÍTICO,0.9121219
36883,55,Research & Development,Yes,🔴 CRÍTICO,0.9120842
18044,35,Research & Development,Yes,🔴 CRÍTICO,0.91206783
13590,21,Sales,Yes,🔴 CRÍTICO,0.9119448
46835,26,Sales,Yes,🔴 CRÍTICO,0.91188157
48338,25,Sales,Yes,🔴 CRÍTICO,0.91186965
41094,28,Sales,Yes,🔴 CRÍTICO,0.9118339
21812,26,Sales,Yes,🔴 CRÍTICO,0.91182745
45692,55,Research & Development,Yes,🔴 CRÍTICO,0.9118106
49353,25,Sales,Yes,🔴 CRÍTICO,0.9117324
9042,29,Research & Development,Yes,🔴 CRÍTICO,0.9114813
3412,29,Research & Development,Yes,🔴 CRÍTICO,0.91145885
28019,25,Sales,Yes,🔴 CRÍTICO,0.91140264
26113,36,Research & Development,Yes,🔴 CRÍTICO,0.9112563
29535,25,Human Resources,Yes,🔴 CRÍTICO,0.9110047
16819,55,Research & Development,Yes,🔴 CRÍTICO,0.9109537
28122,26,Research & Development,Yes,🔴 CRÍTICO,0.91091985
18584,30,Research & Development,Yes,🔴 CRÍTICO,0.910902
45362,59,Research & Development,Yes,🔴 CRÍTICO,0.9108939
19809,53,Sales,Yes,🔴 CRÍTICO,0.9108906
32872,42,Sales,Yes,🔴 CRÍTICO,0.91069406
19567,57,Research & Development,Yes,🔴 CRÍTICO,0.9106738
11449,24,Sales,Yes,🔴 CRÍTICO,0.9105466
37593,38,Sales,Yes,🔴 CRÍTICO,0.91048837
28659,22,Research & Development,Yes,🔴 CRÍTICO,0.9104778
769,50,Research & Development,Yes,🔴 CRÍTICO,0.91041327
25332,52,Human Resources,Yes,🔴 CRÍTICO,0.9102737
38021,38,Sales,Yes,🔴 CRÍTICO,0.9101639
29701,40,Sales,Yes,🔴 CRÍTICO,0.910159
21192,42,Research & Development,Yes,🔴 CRÍTICO,0.9101304
49230,37,Research & Development,Yes,🔴 CRÍTICO,0.91009545
43114,26,Sales,Yes,🔴 CRÍTICO,0.9100931
36216,56,Research & Development,Yes,🔴 CRÍTICO,0.9099068
24111,36,Research & Development,Yes,🔴 CRÍTICO,0.90989166
10955,52,Sales,Yes,🔴 CRÍTICO,0.90988666
30817,35,Sales,Yes,🔴 CRÍTICO,0.9098379
9917,29,Research & Development,Yes,🔴 CRÍTICO,0.9098087
38392,35,Sales,Yes,🔴 CRÍTICO,0.9097452
43827,45,Research & Development,Yes,🔴 CRÍTICO,0.90964866
24982,26,Sales,Yes,🔴 CRÍTICO,0.90934503
9021,32,Research & Development,Yes,🔴 CRÍTICO,0.9092895
46977,51,Sales,Yes,🔴 CRÍTICO,0.9091933
3783,41,Sales,Yes,🔴 CRÍTICO,0.9091209
43370,26,Human Resources,Yes,🔴 CRÍTICO,0.90912074
44507,29,Research & Development,Yes,🔴 CRÍTICO,0.909096
163,41,Research & Development,Yes,🔴 CRÍTICO,0.909062
44006,27,Research & Development,Yes,🔴 CRÍTICO,0.9088247
39728,28,Research & Development,Yes,🔴 CRÍTICO,0.9087842
18434,25,Research & Development,Yes,🔴 CRÍTICO,0.9087605
11501,20,Sales,Yes,🔴 CRÍTICO,0.9085642
18819,41,Research & Development,Yes,🔴 CRÍTICO,0.9085299
20440,28,Sales,No,🔴 CRÍTICO,0.90845793
48381,59,Research & Development,Yes,🔴 CRÍTICO,0.9084541
13095,22,Sales,Yes,🔴 CRÍTICO,0.9084482
27149,38,Research & Development,Yes,🔴 CRÍTICO,0.90843767
41695,32,Sales,Yes,🔴 CRÍTICO,0.9080631
14011,29,Sales,Yes,🔴 CRÍTICO,0.9080448
3488,21,Sales,Yes,🔴 CRÍTICO,0.90800273
26577,33,Sales,Yes,🔴 CRÍTICO,0.9078609
25385,49,Research & Development,Yes,🔴 CRÍTICO,0.9077806
26012,22,Research & Development,Yes,🔴 CRÍTICO,0.90757436
12476,35,Sales,Yes,🔴 CRÍTICO,0.9075399
342,45,Research & Development,Yes,🔴 CRÍTICO,0.90745926
20141,31,Human Resources,Yes,🔴 CRÍTICO,0.907372
20374,36,Sales,Yes,🔴 CRÍTICO,0.90727866
23383,27,Human Resources,Yes,🔴 CRÍTICO,0.90719354
43695,25,Sales,Yes,🔴 CRÍTICO,0.907091
13724,22,Sales,Yes,🔴 CRÍTICO,0.90706736
4885,19,Sales,Yes,🔴 CRÍTICO,0.9070581
38240,27,Sales,Yes,🔴 CRÍTICO,0.90695244
40485,53,Research & Development,Yes,🔴 CRÍTICO,0.9068129
30492,24,Human Resources,Yes,🔴 CRÍTICO,0.90681285
43830,50,Sales,Yes,🔴 CRÍTICO,0.9067986
28492,25,Sales,Yes,🔴 CRÍTICO,0.9067151
44792,37,Sales,Yes,🔴 CRÍTICO,0.90651286
33164,32,Sales,Yes,🔴 CRÍTICO,0.9063726
14114,43,Research & Development,Yes,🔴 CRÍTICO,0.90636164
31267,44,Sales,Yes,🔴 CRÍTICO,0.90624875
41415,29,Research & Development,Yes,🔴 CRÍTICO,0.9062392
47242,46,Sales,Yes,🔴 CRÍTICO,0.90622544
10106,31,Sales,Yes,🔴 CRÍTICO,0.9061807
18057,22,Research & Development,Yes,🔴 CRÍTICO,0.9061473
31722,52,Research & Development,Yes,🔴 CRÍTICO,0.90606296
7411,50,Sales,Yes,🔴 CRÍTICO,0.9059161
5798,20,Research & Development,Yes,🔴 CRÍTICO,0.9057095
37496,30,Sales,Yes,🔴 CRÍTICO,0.9056959
22700,43,Sales,Yes,🔴 CRÍTICO,0.9056923
31953,44,Research & Development,Yes,🔴 CRÍTICO,0.905528
22138,41,Research & Development,Yes,🔴 CRÍTICO,0.90545124
38085,38,Sales,Yes,🔴 CRÍTICO,0.90541
22244,32,Sales,Yes,🔴 CRÍTICO,0.90532947
30042,28,Sales,Yes,🔴 CRÍTICO,0.90524507
23972,24,Research & Development,Yes,🔴 CRÍTICO,0.90523106
39031,27,Sales,Yes,🔴 CRÍTICO,0.90504503
42952,25,Research & Development,Yes,🔴 CRÍTICO,0.90501016
30170,42,Research & Development,Yes,🔴 CRÍTICO,0.9049757
830,20,Sales,Yes,🔴 CRÍTICO,0.90494776
32182,50,Research & Development,Yes,🔴 CRÍTICO,0.90480256
5205,39,Research & Development,Yes,🔴 CRÍTICO,0.90474623
7105,38,Sales,Yes,🔴 CRÍTICO,0.90474504
6016,18,Research & Development,Yes,🔴 CRÍTICO,0.9047256
26144,39,Research & Development,Yes,🔴 CRÍTICO,0.9046837
564,31,Research & Development,Yes,🔴 CRÍTICO,0.90464455
23260,59,Research & Development,Yes,🔴 CRÍTICO,0.9044444
24970,59,Sales,Yes,🔴 CRÍTICO,0.9042162
29997,47,Human Resources,Yes,🔴 CRÍTICO,0.9041502
15537,44,Sales,Yes,🔴 CRÍTICO,0.90411484
7891,37,Research & Development,Yes,🔴 CRÍTICO,0.90392125
21799,30,Research & Development,Yes,🔴 CRÍTICO,0.90389234
29617,55,Research & Development,Yes,🔴 CRÍTICO,0.9038587
4737,40,Sales,Yes,🔴 CRÍTICO,0.9037765
6324,57,Human Resources,Yes,🔴 CRÍTICO,0.90375787
25047,29,Sales,No,🔴 CRÍTICO,0.9037032
48181,39,Research & Development,Yes,🔴 CRÍTICO,0.9035482
38555,46,Sales,Yes,🔴 CRÍTICO,0.9035005
27077,32,Research & Development,Yes,🔴 CRÍTICO,0.903413
21586,40,Research & Development,Yes,🔴 CRÍTICO,0.9033428
10365,27,Human Resources,Yes,🔴 CRÍTICO,0.9032415
23471,59,Research & Development,Yes,🔴 CRÍTICO,0.90316427
40332,41,Sales,Yes,🔴 CRÍTICO,0.9029849
32870,22,Research & Development,Yes,🔴 CRÍTICO,0.9029792
27713,34,Research & Development,Yes,🔴 CRÍTICO,0.9029337
24559,58,Sales,Yes,🔴 CRÍTICO,0.902883
36562,27,Research & Development,Yes,🔴 CRÍTICO,0.9027165
49562,26,Sales,Yes,🔴 CRÍTICO,0.90267545
38124,58,Sales,Yes,🔴 CRÍTICO,0.902637
17390,51,Research & Development,Yes,🔴 CRÍTICO,0.9025136
42971,26,Sales,Yes,🔴 CRÍTICO,0.9025121
24444,25,Research & Development,Yes,🔴 CRÍTICO,0.90242666
39786,25,Research & Development,Yes,🔴 CRÍTICO,0.902343
42567,26,Research & Development,Yes,🔴 CRÍTICO,0.90232795
27686,48,Research & Development,Yes,🔴 CRÍTICO,0.90231544
29569,29,Sales,Yes,🔴 CRÍTICO,0.9023126
10261,43,Research & Development,Yes,🔴 CRÍTICO,0.902288
19247,57,Research & Development,Yes,🔴 CRÍTICO,0.9022572
40031,30,Research & Development,Yes,🔴 CRÍTICO,0.9022225
34247,27,Sales,No,🔴 CRÍTICO,0.9021919
5987,26,Research & Development,Yes,🔴 CRÍTICO,0.9021851
19913,33,Research & Development,Yes,🔴 CRÍTICO,0.90216094
4535,40,Research & Development,Yes,🔴 CRÍTICO,0.902076
22286,36,Sales,Yes,🔴 CRÍTICO,0.90200424
1935,57,Research & Development,Yes,🔴 CRÍTICO,0.9019219
17634,29,Sales,Yes,🔴 CRÍTICO,0.9018017
27190,20,Research & Development,Yes,🔴 CRÍTICO,0.90167373
41052,28,Research & Development,Yes,🔴 CRÍTICO,0.90167344
42825,48,Research & Development,Yes,🔴 CRÍTICO,0.9015827
43521,43,Research & Development,Yes,🔴 CRÍTICO,0.9015477
10585,28,Research & Development,Yes,🔴 CRÍTICO,0.9015148
39045,53,Research & Development,Yes,🔴 CRÍTICO,0.90148205
45139,23,Research & Development,Yes,🔴 CRÍTICO,0.901462
29270,29,Sales,Yes,🔴 CRÍTICO,0.90143394
912,41,Research & Development,Yes,🔴 CRÍTICO,0.9014312
24461,46,Sales,Yes,🔴 CRÍTICO,0.9014112
8409,42,Sales,Yes,🔴 CRÍTICO,0.9014099
49220,52,Research & Development,Yes,🔴 CRÍTICO,0.9013858
18987,48,Research & Development,Yes,🔴 CRÍTICO,0.90136915
5383,19,Research & Development,Yes,🔴 CRÍTICO,0.9013266
21980,39,Research & Development,Yes,🔴 CRÍTICO,0.9013001
11265,59,Sales,Yes,🔴 CRÍTICO,0.9012935
40606,53,Research & Development,Yes,🔴 CRÍTICO,0.9012416
18435,25,Research & Development,Yes,🔴 CRÍTICO,0.9012377
28140,30,Research & Development,Yes,🔴 CRÍTICO,0.90118194
48126,26,Sales,Yes,🔴 CRÍTICO,0.90117526
22890,30,Research & Development,No,🔴 CRÍTICO,0.9011656
29085,25,Human Resources,Yes,🔴 CRÍTICO,0.90112436
22090,28,Sales,Yes,🔴 CRÍTICO,0.9011042
40892,56,Research & Development,Yes,🔴 CRÍTICO,0.90104944
30435,32,Research & Development,Yes,🔴 CRÍTICO,0.901038
32465,27,Research & Development,Yes,🔴 CRÍTICO,0.90082747
12290,26,Research & Development,Yes,🔴 CRÍTICO,0.9008171
35489,27,Sales,Yes,🔴 CRÍTICO,0.9007202
39976,26,Human Resources,Yes,🔴 CRÍTICO,0.90071565
4288,34,Sales,Yes,🔴 CRÍTICO,0.90070474
41781,51,Research & Development,Yes,🔴 CRÍTICO,0.9006998
42229,53,Research & Development,Yes,🔴 CRÍTICO,0.900644
30690,46,Human Resources,Yes,🔴 CRÍTICO,0.90062976
38976,39,Research & Development,Yes,🔴 CRÍTICO,0.9004916
25423,19,Sales,Yes,🔴 CRÍTICO,0.90045285
4568,50,Sales,Yes,🔴 CRÍTICO,0.9004348
49006,32,Research & Development,Yes,🔴 CRÍTICO,0.9001599
49977,57,Human Resources,Yes,🔴 CRÍTICO,0.9001465
15750,59,Research & Development,Yes,🔴 CRÍTICO,0.9001333
20666,42,Sales,Yes,🔴 CRÍTICO,0.90003115
38529,38,Research & Development,Yes,🔴 CRÍTICO,0.89999145
23033,51,Human Resources,Yes,🔴 CRÍTICO,0.8999144
25306,50,Sales,Yes,🔴 CRÍTICO,0.8998134
26717,24,Sales,Yes,🔴 CRÍTICO,0.8997705
3602,57,Sales,Yes,🔴 CRÍTICO,0.89975333
44330,33,Research & Development,Yes,🔴 CRÍTICO,0.8995552
39785,35,Research & Development,Yes,🔴 CRÍTICO,0.8994761
11344,50,Research & Development,Yes,🔴 CRÍTICO,0.89946705
44384,28,Human Resources,No,🔴 CRÍTICO,0.8994413
42713,28,Sales,Yes,🔴 CRÍTICO,0.8994155
29295,44,Research & Development,Yes,🔴 CRÍTICO,0.8993585
25726,50,Research & Development,Yes,🔴 CRÍTICO,0.8992938
27522,28,Human Resources,Yes,🔴 CRÍTICO,0.89923066
26622,26,Sales,Yes,🔴 CRÍTICO,0.89910775
43934,53,Research & Development,Yes,🔴 CRÍTICO,0.8990729
43351,20,Research & Development,Yes,🔴 CRÍTICO,0.8990471
18799,45,Sales,Yes,🔴 CRÍTICO,0.89895004
36827,45,Human Resources,Yes,🔴 CRÍTICO,0.8988856
2364,31,Human Resources,Yes,🔴 CRÍTICO,0.89881617
42077,37,Research & Development,Yes,🔴 CRÍTICO,0.89874625
21558,25,Sales,Yes,🔴 CRÍTICO,0.8987
13349,27,Research & Development,Yes,🔴 CRÍTICO,0.8986402
12701,55,Sales,Yes,🔴 CRÍTICO,0.8986357
48132,34,Research & Development,Yes,🔴 CRÍTICO,0.89859664
2919,18,Sales,Yes,🔴 CRÍTICO,0.89854544
17899,26,Sales,Yes,🔴 CRÍTICO,0.8983464
16133,40,Research & Development,Yes,🔴 CRÍTICO,0.8982156
43008,28,Sales,Yes,🔴 CRÍTICO,0.89788276
15855,51,Sales,Yes,🔴 CRÍTICO,0.8978547
34697,36,Sales,Yes,🔴 CRÍTICO,0.89782685
49639,44,Research & Development,Yes,🔴 CRÍTICO,0.89773995
38411,41,Human Resources,Yes,🔴 CRÍTICO,0.89767885
29979,22,Research & Development,Yes,🔴 CRÍTICO,0.8976509
21524,59,Sales,Yes,🔴 CRÍTICO,0.89763296
27378,40,Research & Development,Yes,🔴 CRÍTICO,0.8975585
13436,50,Research & Development,Yes,🔴 CRÍTICO,0.89740413
30981,53,Research & Development,Yes,🔴 CRÍTICO,0.8973761
20227,29,Research & Development,Yes,🔴 CRÍTICO,0.89732367
41854,59,Research & Development,Yes,🔴 CRÍTICO,0.89725775
42122,33,Human Resources,Yes,🔴 CRÍTICO,0.8971204
26344,40,Sales,Yes,🔴 CRÍTICO,0.8970565
38636,37,Research & Development,Yes,🔴 CRÍTICO,0.8970148
13922,50,Research & Development,Yes,🔴 CRÍTICO,0.8969935
3882,31,Human Resources,Yes,🔴 CRÍTICO,0.8969784
8579,40,Human Resources,Yes,🔴 CRÍTICO,0.8968965
11279,25,Sales,Yes,🔴 CRÍTICO,0.8968411
42922,37,Research & Development,Yes,🔴 CRÍTICO,0.89671594
29251,33,Research & Development,Yes,🔴 CRÍTICO,0.89655197
7735,39,Research & Development,Yes,🔴 CRÍTICO,0.89648294
20962,18,Human Resources,Yes,🔴 CRÍTICO,0.89646685
36984,29,Sales,Yes,🔴 CRÍTICO,0.89643335
2798,52,Research & Development,Yes,🔴 CRÍTICO,0.89642537
17202,28,Sales,Yes,🔴 CRÍTICO,0.89639175
28227,38,Sales,Yes,🔴 CRÍTICO,0.8963763
9413,56,Research & Development,Yes,🔴 CRÍTICO,0.8963763
45915,29,Sales,Yes,🔴 CRÍTICO,0.8963478
2744,57,Research & Development,Yes,🔴 CRÍTICO,0.8963029
20184,48,Human Resources,Yes,🔴 CRÍTICO,0.89625555
13943,49,Research & Development,Yes,🔴 CRÍTICO,0.89624506
42501,38,Research & Development,Yes,🔴 CRÍTICO,0.89623344
2210,24,Research & Development,Yes,🔴 CRÍTICO,0.89618224
20727,18,Research & Development,Yes,🔴 CRÍTICO,0.89616096
27688,43,Research & Development,Yes,🔴 CRÍTICO,0.8961524
35215,54,Sales,Yes,🔴 CRÍTICO,0.89614135
