Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
18,No,Travel_Rarely,1103,Human Resources,8,2,Life Sciences,1,2118,1,Male,89,3,2,Laboratory Technician,3,Married,6818,21825,2,Y,No,22,4,4,80,1,0,3,4,0,0,7,0
56,Yes,Travel_Rarely,849,Research & Development,1,4,Life Sciences,1,2119,2,Male,42,2,1,Research Scientist,1,Married,4358,12161,0,Y,Yes,18,3,4,80,1,6,6,1,6,4,3,0
46,No,Travel_Rarely,1255,Research & Development,6,3,Marketing,1,2120,3,Female,61,3,3,Healthcare Representative,3,Married,14103,20229,3,Y,No,11,3,3,80,0,19,3,4,0,0,2,0
37,No,Travel_Frequently,1156,Research & Development,14,4,Marketing,1,2121,2,Female,56,2,2,Manufacturing Director,3,Single,4538,14397,1,Y,Yes,14,4,3,80,1,17,3,2,8,3,0,1
22,No,Travel_Rarely,1496,Research & Development,10,3,Life Sciences,1,2122,4,Female,72,1,1,Research Scientist,2,Divorced,1009,10607,0,Y,Yes,13,3,1,80,0,4,6,2,4,4,10,4
39,Yes,Non-Travel,1134,Research & Development,15,5,Life Sciences,1,2123,2,Male,44,2,4,Manufacturing Director,3,Divorced,3405,22517,5,Y,No,13,4,1,80,3,21,3,4,0,0,0,0
32,No,Travel_Rarely,733,Sales,5,3,Marketing,1,2124,2,Male,62,4,2,Sales Executive,3,Married,12363,14488,4,Y,No,11,3,2,80,1,0,4,2,0,0,4,0
35,Yes,Travel_Rarely,231,Research & Development,9,3,Technical Degree,1,2125,3,Female,64,3,2,Healthcare Representative,1,Married,1764,21562,1,Y,No,19,4,1,80,1,17,1,3,13,6,0,0
48,No,Travel_Rarely,1006,Research & Development,1,3,Life Sciences,1,2126,4,Female,71,4,2,Laboratory Technician,2,Divorced,4963,15049,1,Y,No,19,3,4,80,0,15,5,3,11,0,8,4
42,No,Travel_Rarely,593,Sales,1,2,Life Sciences,1,2127,4,Male,43,3,1,Sales Executive,2,Married,2916,11237,1,Y,No,16,3,2,80,2,23,3,4,4,1,3,4
36,No,Travel_Rarely,1008,Research & Development,5,4,Medical,1,2128,1,Male,71,2,3,Manufacturing Director,2,Single,1572,17803,7,Y,No,21,3,3,80,0,0,2,2,0,0,5,0
33,Yes,Travel_Rarely,1082,Sales,13,3,Medical,1,2129,2,Female,75,3,1,Manufacturing Director,3,Single,1009,22274,0,Y,No,21,3,2,80,2,10,1,2,0,0,7,0
47,No,Travel_Rarely,1230,Research & Development,10,3,Technical Degree,1,2130,2,Female,97,2,2,Manufacturing Director,2,Divorced,10375,18740,1,Y,Yes,16,3,4,80,2,18,1,3,1,1,1,1
25,No,Travel_Rarely,1499,Research & Development,1,4,Medical,1,2131,4,Male,74,2,1,Manager,3,Divorced,8780,20171,4,Y,No,16,4,4,80,0,7,2,2,0,0,1,0
28,Yes,Travel_Frequently,617,Research & Development,18,4,Life Sciences,1,2132,4,Female,71,2,2,Sales Executive,3,Divorced,6097,10151,0,Y,No,15,3,3,80,1,10,4,2,1,1,6,1
36,No,Travel_Rarely,1499,Sales,9,4,Medical,1,2133,4,Male,30,3,2,Research Director,3,Divorced,10882,19330,4,Y,Yes,16,3,1,80,1,13,3,2,13,3,2,5
26,Yes,Travel_Rarely,726,Research & Development,4,4,Marketing,1,2134,4,Male,61,4,2,Laboratory Technician,3,Married,18147,12598,2,Y,Yes,16,3,2,80,0,8,4,3,8,1,2,7
31,No,Travel_Rarely,1122,Research & Development,6,4,Life Sciences,1,2135,2,Male,57,3,1,Manufacturing Director,3,Married,7423,2094,1,Y,Yes,11,3,3,80,2,2,2,1,2,2,0,2
39,No,Travel_Frequently,560,Sales,11,3,Life Sciences,1,2136,3,Male,55,3,1,Laboratory Technician,3,Divorced,1009,3691,5,Y,No,15,3,1,80,1,13,3,2,6,5,0,6
48,No,Travel_Frequently,639,Research & Development,4,3,Other,1,2137,1,Female,58,3,2,Manufacturing Director,4,Single,1009,5409,3,Y,No,17,4,1,80,1,21,4,2,18,5,1,9
30,No,Non-Travel,726,Research & Development,9,4,Medical,1,2138,4,Female,100,3,2,Sales Executive,3,Married,3153,2094,1,Y,No,18,3,3,80,0,12,2,1,2,0,1,2
24,No,Travel_Rarely,985,Research & Development,4,4,Life Sciences,1,2139,3,Male,49,2,2,Manufacturing Director,3,Married,6480,15945,1,Y,No,17,3,3,80,0,6,4,2,6,0,5,3
44,No,Travel_Rarely,224,Sales,20,3,Life Sciences,1,2140,2,Male,55,4,3,Manufacturing Director,4,Divorced,8603,8794,0,Y,No,20,3,1,80,0,9,5,3,9,4,0,5
29,No,Travel_Rarely,1499,Research & Development,6,2,Medical,1,2141,3,Male,100,2,3,Manager,1,Divorced,5332,11444,0,Y,No,15,3,3,80,1,0,3,3,0,0,1,0
35,Yes,Non-Travel,102,Research & Development,16,2,Marketing,1,2142,4,Female,77,2,1,Sales Representative,2,Single,2261,26484,6,Y,Yes,19,4,2,80,1,0,4,4,0,0,0,0
25,No,Travel_Rarely,951,Sales,5,1,Medical,1,2143,4,Female,67,2,2,Research Director,3,Single,4034,12582,3,Y,No,15,4,3,80,1,7,1,2,0,0,5,0
55,No,Non-Travel,944,Research & Development,12,4,Technical Degree,1,2144,3,Female,63,3,2,Sales Representative,4,Divorced,7098,23951,0,Y,No,11,3,3,80,1,9,2,2,9,9,5,6
37,No,Travel_Rarely,372,Research & Development,16,2,Life Sciences,1,2145,4,Female,54,2,1,Sales Executive,3,Married,3178,17298,2,Y,No,20,3,3,80,2,12,2,2,8,2,4,7
36,No,Travel_Rarely,475,Research & Development,2,5,Life Sciences,1,2146,4,Male,55,3,2,Laboratory Technician,3,Married,7375,10523,2,Y,Yes,11,3,3,80,1,0,3,2,0,0,2,0
40,No,Travel_Rarely,417,Research & Development,1,4,Life Sciences,1,2147,2,Male,93,3,2,Research Director,2,Divorced,4242,2094,4,Y,Yes,19,3,3,80,1,9,5,3,9,0,4,0
37,No,Travel_Rarely,662,Research & Development,11,3,Life Sciences,1,2148,2,Female,100,4,1,Manufacturing Director,4,Married,10590,7696,6,Y,No,14,3,3,80,0,14,0,2,14,0,4,3
32,No,Non-Travel,1398,Research & Development,11,4,Medical,1,2149,4,Female,81,3,2,Research Director,3,Divorced,1584,11235,0,Y,Yes,17,3,3,80,1,11,1,2,0,0,4,0
50,No,Travel_Rarely,1050,Sales,8,4,Technical Degree,1,2150,3,Female,57,3,2,Research Scientist,3,Single,1009,11486,1,Y,No,16,3,2,80,2,5,2,2,5,5,1,5
39,No,Travel_Rarely,430,Human Resources,16,2,Life Sciences,1,2151,2,Female,60,3,1,Sales Executive,1,Divorced,2893,15925,0,Y,No,16,3,3,80,2,20,6,2,2,2,0,2
22,No,Travel_Rarely,231,Sales,5,3,Life Sciences,1,2152,4,Male,74,2,1,Sales Executive,2,Married,3893,5560,4,Y,Yes,11,4,4,80,0,4,5,3,2,0,2,2
43,No,Travel_Rarely,1206,Sales,3,2,Life Sciences,1,2153,1,Male,99,2,1,Sales Executive,3,Married,5738,23423,0,Y,No,16,4,3,80,0,6,4,3,6,1,6,5
33,No,Travel_Rarely,463,Research & Development,29,2,Life Sciences,1,2154,3,Male,100,3,1,Research Scientist,4,Divorced,11500,22825,3,Y,No,14,4,3,80,0,15,5,2,12,4,6,1
31,No,Travel_Rarely,1035,Sales,1,4,Medical,1,2155,3,Male,42,3,1,Laboratory Technician,3,Married,3972,9736,5,Y,Yes,11,3,2,80,1,13,3,4,13,9,2,3
47,Yes,Travel_Rarely,452,Sales,1,3,Life Sciences,1,2156,2,Female,69,4,1,Research Scientist,3,Married,2770,18008,3,Y,No,12,3,2,80,1,16,2,3,3,0,4,3
55,No,Travel_Rarely,849,Research & Development,9,3,Medical,1,2157,4,Male,91,3,4,Manager,4,Married,1009,25167,4,Y,No,12,3,3,80,1,10,4,2,0,0,0,0
30,No,Travel_Rarely,587,Research & Development,8,2,Marketing,1,2158,4,Male,40,2,2,Sales Executive,2,Married,11652,10638,3,Y,No,14,3,3,80,0,12,2,3,4,4,2,0
33,No,Travel_Rarely,1111,Research & Development,3,3,Life Sciences,1,2159,2,Male,64,4,1,Research Director,3,Married,6401,16440,5,Y,No,17,3,3,80,1,15,3,2,8,3,1,2
55,No,Travel_Rarely,851,Research & Development,5,3,Other,1,2160,1,Male,100,3,2,Healthcare Representative,4,Single,6957,12048,6,Y,No,15,3,3,80,0,1,1,3,0,0,0,0
39,No,Travel_Rarely,418,Research & Development,19,4,Medical,1,2161,2,Female,30,3,4,Laboratory Technician,3,Single,5504,26999,6,Y,No,17,4,3,80,1,10,3,3,3,3,0,3
26,No,Non-Travel,950,Human Resources,6,4,Technical Degree,1,2162,3,Male,41,2,2,Laboratory Technician,2,Divorced,7751,14573,4,Y,No,16,3,4,80,2,0,4,4,0,0,6,0
57,No,Travel_Rarely,751,Human Resources,18,3,Life Sciences,1,2163,4,Male,81,3,2,Manufacturing Director,1,Married,1174,14430,1,Y,Yes,15,4,2,80,0,4,2,2,4,0,2,4
39,No,Travel_Rarely,806,Research & Development,6,3,Medical,1,2164,2,Female,92,2,3,Manager,1,Married,1009,6270,2,Y,No,17,3,3,80,1,21,2,4,16,11,6,7
39,No,Travel_Frequently,684,Research & Development,2,2,Medical,1,2165,4,Male,95,2,2,Research Scientist,3,Single,7077,26999,2,Y,No,20,3,1,80,1,9,2,3,7,7,0,7
36,Yes,Travel_Rarely,670,Research & Development,6,3,Technical Degree,1,2166,3,Male,90,2,2,Research Scientist,4,Divorced,3400,6497,2,Y,No,12,3,3,80,1,18,1,3,5,0,2,5
44,No,Travel_Rarely,903,Sales,14,4,Other,1,2167,3,Male,87,2,2,Manufacturing Director,3,Married,11257,16076,0,Y,No,17,3,4,80,1,3,1,4,3,3,6,3
37,No,Travel_Rarely,969,Human Resources,14,1,Life Sciences,1,2168,3,Female,30,2,1,Laboratory Technician,2,Married,8742,13172,5,Y,Yes,18,3,2,80,0,16,1,3,15,6,1,1
47,No,Travel_Frequently,102,Sales,1,4,Life Sciences,1,2169,4,Male,46,3,2,Laboratory Technician,2,Divorced,9122,17554,3,Y,No,22,4,4,80,1,13,3,4,0,0,1,0
41,No,Travel_Rarely,930,Sales,1,4,Marketing,1,2170,3,Female,56,2,2,Manager,3,Married,1568,21597,6,Y,No,12,3,2,80,0,3,2,2,3,3,3,0
27,Yes,Travel_Rarely,1037,Research & Development,26,3,Life Sciences,1,2171,2,Male,75,2,4,Laboratory Technician,2,Divorced,10486,15250,0,Y,Yes,21,3,3,80,1,9,2,4,9,4,0,0
36,Yes,Travel_Rarely,597,Research & Development,4,4,Medical,1,2172,4,Male,61,3,3,Manufacturing Director,2,Married,1009,5687,1,Y,No,11,3,2,80,1,18,4,3,15,0,7,2
40,No,Travel_Frequently,1159,Research & Development,3,3,Medical,1,2173,1,Female,81,3,1,Laboratory Technician,1,Single,13821,19591,1,Y,No,21,4,3,80,1,17,3,3,4,1,8,4
43,No,Travel_Rarely,521,Research & Development,21,2,Life Sciences,1,2174,3,Female,64,3,3,Research Director,4,Married,6197,15935,0,Y,Yes,17,3,1,80,0,1,2,3,1,1,2,0
39,No,Travel_Rarely,615,Sales,5,4,Medical,1,2175,2,Female,54,3,1,Manufacturing Director,4,Divorced,5569,17613,2,Y,No,12,3,3,80,1,19,2,4,0,0,4,0
42,No,Travel_Rarely,693,Sales,10,3,Medical,1,2176,1,Male,64,4,2,Sales Executive,4,Single,10840,11510,0,Y,No,17,3,2,80,0,7,2,3,7,5,9,5
40,No,Travel_Frequently,1204,Sales,7,4,Other,1,2177,2,Male,81,4,2,Laboratory Technician,4,Single,1009,18369,3,Y,Yes,13,3,4,80,0,9,3,3,9,2,4,9
34,No,Travel_Rarely,605,Research & Development,15,3,Life Sciences,1,2178,4,Male,94,2,1,Sales Executive,3,Married,1802,16407,2,Y,No,15,3,2,80,1,11,3,2,11,10,3,7
30,Yes,Travel_Rarely,675,Sales,9,2,Life Sciences,1,2179,3,Male,100,4,3,Research Scientist,4,Single,16981,14600,3,Y,No,17,3,3,80,1,12,4,3,12,7,0,4
36,No,Travel_Rarely,978,Sales,16,2,Marketing,1,2180,4,Female,37,2,2,Manager,2,Married,1009,24662,4,Y,No,15,3,2,80,2,0,5,3,0,0,6,0
52,No,Travel_Rarely,470,Research & Development,9,3,Technical Degree,1,2181,2,Male,72,2,2,Healthcare Representative,3,Married,8616,2212,4,Y,Yes,11,3,2,80,0,0,3,3,0,0,0,0
41,No,Travel_Frequently,589,Research & Development,8,2,Life Sciences,1,2182,4,Female,41,2,1,Sales Executive,1,Single,3216,6585,4,Y,No,12,4,1,80,0,5,2,4,5,5,5,4
38,No,Travel_Rarely,1346,Sales,17,5,Life Sciences,1,2183,4,Male,66,1,1,Research Scientist,2,Married,10076,17922,3,Y,No,11,3,2,80,1,7,2,2,7,7,2,2
43,No,Travel_Frequently,656,Research & Development,1,2,Life Sciences,1,2184,3,Female,96,3,2,Research Scientist,3,Married,4915,18166,4,Y,Yes,17,3,4,80,1,12,4,3,8,4,4,4
27,No,Travel_Rarely,1100,Research & Development,11,4,Other,1,2185,4,Female,100,4,3,Laboratory Technician,4,Married,6844,12100,7,Y,No,16,3,2,80,0,9,5,3,9,0,3,7
37,No,Travel_Rarely,1110,Sales,10,4,Marketing,1,2186,3,Male,38,2,1,Research Scientist,4,Married,7137,21733,0,Y,No,15,3,4,80,0,14,3,2,6,1,0,1
26,No,Travel_Rarely,1166,Research & Development,9,3,Life Sciences,1,2187,3,Male,66,2,2,Healthcare Representative,2,Divorced,8852,11317,4,Y,No,14,3,1,80,1,8,2,4,0,0,0,0
40,No,Travel_Rarely,345,Research & Development,4,5,Life Sciences,1,2188,1,Male,85,2,1,Research Scientist,4,Married,4592,26999,7,Y,Yes,17,4,2,80,1,7,1,3,0,0,4,0
28,No,Travel_Rarely,845,Sales,6,2,Life Sciences,1,2189,3,Male,69,3,3,Laboratory Technician,3,Divorced,3412,21870,0,Y,No,22,3,4,80,1,10,4,3,2,1,0,1
24,No,Travel_Rarely,1061,Sales,14,3,Life Sciences,1,2190,4,Male,81,3,2,Laboratory Technician,2,Divorced,11285,15367,0,Y,No,16,3,3,80,0,6,6,4,4,4,0,2
23,No,Travel_Rarely,388,Sales,5,5,Life Sciences,1,2191,2,Female,30,3,3,Sales Executive,4,Divorced,3625,16977,0,Y,Yes,15,3,1,80,1,5,1,4,5,4,3,5
28,No,Travel_Rarely,102,Research & Development,6,4,Life Sciences,1,2192,3,Male,48,3,2,Manager,4,Divorced,5510,6542,5,Y,No,14,3,1,80,0,10,3,3,10,2,8,0
36,No,Non-Travel,1118,Research & Development,12,3,Medical,1,2193,2,Male,69,3,3,Manufacturing Director,2,Married,8701,22091,5,Y,No,13,3,1,80,2,10,4,2,10,10,1,0
40,No,Travel_Rarely,765,Research & Development,13,3,Medical,1,2194,3,Female,66,3,4,Sales Executive,2,Married,9920,12266,0,Y,No,15,3,1,80,0,7,4,4,6,1,0,0
43,No,Travel_Rarely,531,Sales,13,2,Technical Degree,1,2195,2,Female,97,3,3,Research Scientist,3,Single,3167,19636,7,Y,No,14,3,2,80,0,22,0,2,0,0,5,0
43,No,Travel_Rarely,626,Human Resources,1,3,Medical,1,2196,2,Male,36,3,3,Sales Representative,2,Married,7063,14632,1,Y,Yes,19,3,1,80,1,9,2,3,0,0,5,0
18,Yes,Travel_Frequently,514,Research & Development,11,2,Life Sciences,1,2197,2,Male,78,3,3,Healthcare Representative,2,Married,17381,11764,2,Y,No,24,4,4,80,2,0,3,4,0,0,0,0
35,No,Travel_Rarely,1263,Research & Development,9,3,Medical,1,2198,4,Female,49,2,3,Laboratory Technician,2,Married,5799,5273,2,Y,No,18,3,2,80,0,4,2,3,3,0,10,3
47,No,Travel_Rarely,1281,Research & Development,1,3,Life Sciences,1,2199,3,Male,67,3,3,Laboratory Technician,4,Married,13080,16002,4,Y,Yes,15,4,2,80,0,23,3,3,11,9,0,6
42,No,Travel_Frequently,893,Research & Development,3,2,Marketing,1,2200,3,Male,37,4,1,Research Scientist,3,Divorced,2548,18545,0,Y,No,13,3,4,80,0,20,3,3,4,2,0,4
18,No,Travel_Rarely,577,Research & Development,1,3,Medical,1,2201,3,Male,55,2,1,Research Scientist,3,Single,12105,9579,4,Y,No,15,3,2,80,0,0,4,3,0,0,0,0
33,No,Travel_Rarely,648,Research & Development,10,2,Medical,1,2202,1,Male,81,4,1,Laboratory Technician,4,Single,7041,7657,2,Y,No,12,3,3,80,0,15,2,4,0,0,2,0
31,Yes,Travel_Rarely,1181,Research & Development,9,3,Life Sciences,1,2203,1,Female,82,2,1,Sales Executive,3,Divorced,1009,17940,3,Y,Yes,11,3,2,80,1,11,2,2,11,6,0,9
38,Yes,Travel_Frequently,731,Research & Development,1,2,Life Sciences,1,2204,1,Female,100,2,4,Manager,2,Single,7669,23706,1,Y,No,13,3,3,80,0,5,3,2,5,3,1,1
19,No,Travel_Rarely,800,Research & Development,10,4,Life Sciences,1,2205,3,Female,79,3,1,Sales Representative,4,Married,8723,22317,0,Y,No,17,3,3,80,0,1,4,2,1,0,7,1
27,No,Travel_Rarely,761,Sales,11,2,Marketing,1,2206,1,Female,78,3,3,Research Scientist,4,Single,12480,19604,5,Y,Yes,20,3,3,80,1,9,5,3,8,7,4,1
