Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
49,No,Travel_Rarely,1377,Research & Development,1,2,Technical Degree,1,2089,4,Male,50,3,1,Human Resources,1,Married,6189,2533,4,Y,No,11,3,1,80,1,6,3,4,6,4,1,6
31,No,Travel_Rarely,976,Research & Development,15,3,Life Sciences,1,2090,2,Male,38,4,2,Manufacturing Director,3,Single,11474,6435,4,Y,No,16,4,3,80,2,0,4,2,0,0,6,0
24,No,Travel_Rarely,1008,Research & Development,18,2,Life Sciences,1,2091,2,Male,66,3,1,Research Scientist,1,Divorced,5369,10615,7,Y,Yes,18,3,1,80,1,6,6,3,5,5,5,5
36,No,Travel_Rarely,1117,Sales,8,3,Medical,1,2092,4,Male,59,3,3,Research Scientist,3,Single,5713,2094,9,Y,No,20,3,2,80,0,18,3,3,12,3,3,6
34,No,Travel_Rarely,553,Research & Development,2,3,Medical,1,2093,1,Female,50,2,1,Manufacturing Director,4,Married,10407,20049,3,Y,Yes,11,3,3,80,1,1,0,3,1,1,1,1
50,No,Travel_Rarely,749,Research & Development,11,4,Life Sciences,1,2094,2,Male,44,3,1,Research Scientist,2,Single,4696,6536,4,Y,No,14,4,4,80,2,1,6,2,1,1,0,1
22,No,Travel_Rarely,625,Sales,1,2,Other,1,2095,3,Male,53,2,1,Sales Executive,2,Single,1009,5802,4,Y,No,18,3,2,80,0,4,5,2,4,4,1,3
33,No,Travel_Rarely,688,Research & Development,22,5,Marketing,1,2096,2,Male,80,3,2,Research Scientist,3,Married,10244,12374,0,Y,No,11,4,3,80,1,10,2,4,10,3,0,7
35,Yes,Non-Travel,1499,Research & Development,16,4,Life Sciences,1,2097,4,Male,51,2,2,Sales Executive,3,Single,4815,15326,3,Y,No,15,3,3,80,2,0,2,1,0,0,3,0
39,No,Travel_Rarely,962,Research & Development,11,4,Life Sciences,1,2098,2,Male,74,3,2,Healthcare Representative,3,Single,13203,19080,6,Y,No,21,3,4,80,3,17,3,3,10,6,0,4
27,Yes,Travel_Rarely,102,Research & Development,1,4,Medical,1,2099,3,Female,36,3,1,Research Scientist,2,Married,1009,18203,0,Y,Yes,15,3,4,80,2,9,2,3,4,0,2,4
41,Yes,Travel_Rarely,199,Research & Development,1,3,Technical Degree,1,2100,4,Male,89,3,1,Sales Executive,3,Married,7431,11099,3,Y,Yes,18,3,4,80,1,0,3,4,0,0,3,0
58,No,Travel_Rarely,574,Research & Development,6,1,Marketing,1,2101,1,Female,69,2,4,Laboratory Technician,4,Single,1009,3207,2,Y,No,14,3,3,80,1,25,5,1,13,5,2,2
43,No,Travel_Rarely,676,Sales,12,2,Technical Degree,1,2102,4,Male,100,1,4,Human Resources,2,Divorced,11050,20123,3,Y,No,16,3,3,80,0,4,3,3,4,3,4,0
42,No,Travel_Frequently,767,Sales,7,3,Other,1,2103,3,Male,68,3,1,Sales Representative,2,Married,16395,6982,6,Y,No,14,3,2,80,1,0,2,3,0,0,2,0
18,No,Non-Travel,1386,Sales,2,3,Life Sciences,1,2104,4,Female,72,3,1,Laboratory Technician,2,Married,5388,15446,5,Y,Yes,20,3,4,80,1,0,2,4,0,0,6,0
31,No,Travel_Frequently,1243,Research & Development,2,1,Life Sciences,1,2105,4,Male,47,3,1,Sales Representative,2,Married,8800,14729,4,Y,No,18,3,2,80,0,12,5,4,8,7,10,5
36,No,Travel_Rarely,801,Sales,12,4,Technical Degree,1,2106,3,Male,70,3,1,Manager,3,Single,1009,15211,4,Y,No,15,4,3,80,1,5,2,3,2,2,5,2
38,No,Travel_Rarely,689,Research & Development,1,3,Life Sciences,1,2107,4,Female,69,3,3,Sales Executive,3,Divorced,6137,24631,4,Y,No,18,3,4,80,2,14,3,2,12,9,0,4
49,No,Travel_Rarely,706,Research & Development,23,1,Life Sciences,1,2108,1,Female,85,3,3,Laboratory Technician,3,Single,8006,15737,5,Y,No,16,3,4,80,0,0,2,3,0,0,0,0
24,No,Travel_Rarely,804,Research & Development,10,3,Medical,1,2109,4,Male,52,3,2,Research Scientist,3,Married,2585,16650,1,Y,No,18,3,2,80,1,6,3,3,6,3,0,3
41,No,Travel_Rarely,1499,Research & Development,10,1,Life Sciences,1,2110,2,Male,45,3,1,Laboratory Technician,4,Married,3343,18868,4,Y,No,17,3,2,80,2,0,3,3,0,0,7,0
51,No,Travel_Rarely,275,Research & Development,1,2,Medical,1,2111,1,Female,56,3,3,Sales Executive,4,Single,7282,17324,5,Y,No,19,3,3,80,0,19,3,2,11,0,0,10
36,No,Travel_Rarely,570,Sales,10,3,Life Sciences,1,2112,3,Female,37,4,3,Sales Executive,2,Married,1009,18957,1,Y,No,19,3,1,80,1,18,1,4,10,1,1,0
32,Yes,Travel_Rarely,659,Research & Development,10,4,Life Sciences,1,2113,3,Male,37,3,3,Sales Executive,4,Married,3713,9486,5,Y,No,15,3,1,80,0,14,3,2,6,6,0,0
32,No,Non-Travel,102,Research & Development,9,2,Life Sciences,1,2114,3,Female,89,4,2,Sales Executive,1,Married,6016,9608,0,Y,No,17,4,4,80,1,9,3,2,0,0,1,0
41,Yes,Travel_Frequently,633,Research & Development,19,4,Life Sciences,1,2115,2,Female,43,2,4,Laboratory Technician,2,Married,5935,22508,5,Y,No,17,3,4,80,1,0,5,2,0,0,4,0
44,No,Travel_Rarely,626,Sales,5,5,Human Resources,1,2116,1,Female,100,1,4,Research Scientist,2,Divorced,2568,20860,6,Y,No,16,3,2,80,2,0,4,3,0,0,4,0
30,No,Travel_Rarely,712,Research & Development,6,5,Medical,1,2117,3,Male,69,2,3,Healthcare Representative,2,Single,6278,17899,6,Y,No,19,3,1,80,1,12,4,3,7,4,7,6
32,No,Travel_Frequently,896,Research & Development,23,3,Medical,1,2118,3,Male,48,3,2,Laboratory Technician,3,Divorced,9737,13340,4,Y,No,15,3,1,80,2,14,4,3,13,0,6,4
35,No,Travel_Rarely,554,Research & Development,10,4,Technical Degree,1,2119,3,Male,63,3,2,Sales Executive,3,Single,10308,14728,3,Y,Yes,12,4,3,80,1,17,3,2,16,0,0,5
29,No,Travel_Rarely,710,Sales,17,4,Technical Degree,1,2120,3,Male,46,4,1,Manufacturing Director,2,Married,1980,21032,3,Y,No,11,3,2,80,0,9,4,4,7,7,11,4
45,No,Travel_Rarely,1251,Sales,15,4,Life Sciences,1,2121,3,Male,95,3,4,Laboratory Technician,3,Single,12726,5644,0,Y,No,17,4,1,80,0,14,5,3,0,0,2,0
25,No,Travel_Rarely,800,Research & Development,16,4,Life Sciences,1,2122,4,Male,80,4,3,Research Scientist,2,Married,6473,3957,6,Y,No,15,3,2,80,0,7,2,2,5,5,3,5
31,No,Travel_Rarely,284,Research & Development,25,2,Life Sciences,1,2123,2,Female,93,2,1,Healthcare Representative,4,Divorced,8781,15338,4,Y,Yes,15,3,3,80,1,13,2,3,12,0,1,2
37,No,Travel_Frequently,321,Research & Development,13,3,Life Sciences,1,2124,4,Female,70,4,1,Sales Executive,3,Single,12218,10736,0,Y,Yes,24,3,4,80,1,19,4,3,8,2,5,3
25,Yes,Travel_Rarely,957,Research & Development,6,5,Marketing,1,2125,2,Male,58,2,3,Sales Representative,2,Single,5691,14396,4,Y,No,20,3,2,80,1,6,3,2,1,1,0,1
41,No,Non-Travel,929,Human Resources,16,2,Life Sciences,1,2126,2,Male,53,2,3,Sales Representative,4,Divorced,15661,13036,7,Y,No,14,4,3,80,1,13,3,2,7,1,3,3
48,Yes,Travel_Frequently,942,Research & Development,20,3,Life Sciences,1,2127,1,Female,100,3,2,Human Resources,2,Divorced,2688,15449,2,Y,Yes,25,3,2,80,1,3,4,3,0,0,3,0
25,No,Non-Travel,981,Sales,4,3,Medical,1,2128,2,Male,87,3,2,Sales Representative,3,Single,3370,13486,3,Y,Yes,14,3,3,80,2,7,2,3,7,5,0,5
30,No,Travel_Rarely,470,Research & Development,8,4,Life Sciences,1,2129,2,Male,36,3,1,Manufacturing Director,2,Divorced,3813,10423,0,Y,No,15,3,2,80,1,8,4,3,8,5,1,0
25,No,Travel_Rarely,581,Research & Development,15,4,Medical,1,2130,2,Male,71,2,3,Manufacturing Director,3,Married,9665,11858,3,Y,No,15,4,4,80,1,5,3,4,5,5,3,4
23,No,Travel_Rarely,622,Research & Development,17,4,Life Sciences,1,2131,3,Male,62,2,1,Sales Executive,2,Married,3330,11961,2,Y,No,18,4,3,80,0,5,4,3,5,0,0,4
39,No,Travel_Rarely,915,Sales,9,4,Life Sciences,1,2132,1,Female,87,3,1,Research Scientist,3,Single,6758,20270,4,Y,No,15,3,1,80,2,14,5,4,14,0,1,5
34,No,Travel_Rarely,690,Research & Development,1,2,Medical,1,2133,4,Male,30,2,2,Sales Executive,1,Married,6697,26999,3,Y,No,15,3,2,80,0,2,2,3,2,2,5,2
50,No,Travel_Rarely,1020,Sales,12,1,Medical,1,2134,1,Female,30,4,3,Laboratory Technician,4,Married,2639,26999,1,Y,Yes,18,3,4,80,0,9,1,2,1,1,8,1
25,No,Travel_Rarely,363,Sales,11,3,Medical,1,2135,3,Male,59,2,3,Healthcare Representative,4,Divorced,3827,9765,1,Y,No,15,3,2,80,1,7,1,2,7,4,6,7
46,No,Travel_Rarely,285,Sales,1,5,Life Sciences,1,2136,3,Male,30,2,3,Sales Representative,1,Single,8633,18439,4,Y,Yes,19,3,3,80,1,20,3,3,0,0,5,0
32,No,Travel_Frequently,329,Sales,1,4,Medical,1,2137,3,Male,100,2,3,Laboratory Technician,3,Single,4173,8902,0,Y,No,12,3,3,80,3,14,3,2,12,12,3,6
32,No,Travel_Rarely,740,Sales,10,3,Medical,1,2138,4,Male,99,3,4,Research Scientist,3,Single,11729,12704,0,Y,No,17,3,3,80,1,10,3,4,7,0,9,2
50,No,Travel_Rarely,932,Research & Development,1,5,Medical,1,2139,3,Male,65,2,1,Research Scientist,1,Married,7852,17720,3,Y,Yes,15,4,2,80,1,10,4,4,7,3,0,7
29,No,Travel_Frequently,850,Research & Development,1,3,Medical,1,2140,3,Female,100,4,2,Research Scientist,3,Married,4803,22911,4,Y,No,13,3,1,80,1,11,4,3,11,0,3,3
42,No,Travel_Rarely,545,Research & Development,15,3,Technical Degree,1,2141,1,Female,85,3,4,Research Director,3,Married,10184,19769,0,Y,No,16,4,2,80,2,20,3,3,8,2,1,6
29,No,Travel_Rarely,548,Research & Development,15,2,Other,1,2142,4,Male,80,3,4,Sales Executive,2,Married,4590,18143,4,Y,Yes,13,3,3,80,0,0,2,2,0,0,6,0
39,No,Travel_Rarely,674,Research & Development,4,4,Medical,1,2143,2,Male,58,3,2,Sales Executive,3,Single,9662,25921,4,Y,No,20,3,4,80,1,13,3,1,13,6,1,2
37,No,Travel_Rarely,936,Research & Development,9,3,Life Sciences,1,2144,4,Female,85,2,2,Sales Executive,4,Married,1009,14104,4,Y,Yes,16,3,4,80,0,4,3,3,0,0,3,0
35,No,Travel_Rarely,1295,Research & Development,11,3,Technical Degree,1,2145,3,Male,81,4,4,Sales Executive,3,Married,8610,9722,0,Y,No,15,3,4,80,2,14,3,2,9,2,5,2
39,No,Travel_Frequently,307,Research & Development,19,1,Medical,1,2146,2,Male,84,2,2,Healthcare Representative,3,Married,10738,17969,0,Y,No,17,3,4,80,0,16,2,3,15,1,0,5
28,No,Travel_Frequently,404,Sales,5,4,Life Sciences,1,2147,3,Male,98,3,3,Sales Representative,1,Married,1009,10252,5,Y,Yes,18,3,1,80,1,3,2,2,3,3,8,3
42,No,Travel_Rarely,742,Research & Development,9,4,Life Sciences,1,2148,4,Male,45,2,1,Laboratory Technician,3,Single,16423,24143,4,Y,No,13,3,2,80,1,22,1,3,0,0,2,0
43,Yes,Non-Travel,811,Research & Development,28,4,Life Sciences,1,2149,4,Female,84,3,3,Sales Representative,3,Single,2139,12102,0,Y,No,14,3,4,80,1,21,4,3,8,0,2,8
39,No,Travel_Frequently,102,Research & Development,15,3,Life Sciences,1,2150,3,Male,77,4,2,Sales Executive,3,Divorced,12592,18275,1,Y,No,17,3,2,80,0,10,2,3,4,4,2,4
33,No,Travel_Rarely,748,Sales,12,4,Technical Degree,1,2151,3,Female,89,3,3,Manager,4,Married,3575,8691,1,Y,Yes,17,3,3,80,0,15,2,2,9,2,4,0
40,No,Travel_Rarely,988,Sales,13,3,Marketing,1,2152,3,Male,92,4,4,Laboratory Technician,3,Single,11561,13055,5,Y,No,13,4,4,80,1,0,2,3,0,0,0,0
37,No,Travel_Frequently,338,Sales,4,2,Marketing,1,2153,3,Male,44,3,3,Laboratory Technician,3,Divorced,4493,16980,0,Y,No,18,3,3,80,0,6,4,3,6,6,5,6
35,Yes,Travel_Rarely,1243,Research & Development,1,4,Medical,1,2154,3,Male,100,2,2,Sales Executive,4,Divorced,11335,6197,1,Y,No,15,4,3,80,2,14,3,2,5,0,1,0
33,No,Travel_Rarely,993,Research & Development,12,4,Life Sciences,1,2155,3,Male,79,3,4,Laboratory Technician,4,Married,7425,3506,5,Y,No,17,3,4,80,1,5,3,4,0,0,0,0
34,Yes,Travel_Rarely,1294,Research & Development,7,3,Life Sciences,1,2156,2,Male,100,2,3,Sales Executive,1,Single,7503,13013,0,Y,No,19,3,4,80,1,16,1,3,2,1,0,2
26,Yes,Travel_Rarely,1037,Sales,1,3,Other,1,2157,4,Male,51,4,2,Manager,3,Married,9234,10960,0,Y,No,23,3,2,80,0,8,3,1,0,0,0,0
34,Yes,Travel_Rarely,791,Research & Development,10,2,Life Sciences,1,2158,3,Female,55,3,3,Laboratory Technician,2,Married,5621,26999,3,Y,No,15,3,3,80,1,16,2,1,11,5,4,8
26,No,Travel_Rarely,732,Sales,9,1,Life Sciences,1,2159,2,Female,83,2,3,Sales Executive,2,Single,8735,13392,8,Y,No,17,3,2,80,2,8,2,2,8,8,5,0
49,Yes,Travel_Rarely,1231,Research & Development,9,2,Technical Degree,1,2160,3,Male,55,2,1,Healthcare Representative,4,Divorced,5190,5719,5,Y,No,24,3,3,80,3,3,2,2,3,0,3,1
35,No,Travel_Frequently,885,Research & Development,12,3,Medical,1,2161,3,Male,87,3,1,Manager,1,Single,3107,26032,3,Y,No,15,3,4,80,0,5,4,2,5,3,0,3
33,Yes,Travel_Rarely,1355,Research & Development,1,2,Marketing,1,2162,2,Male,100,3,2,Sales Executive,2,Married,1009,7341,2,Y,No,15,3,2,80,2,4,2,2,1,1,3,1
34,No,Travel_Rarely,395,Research & Development,18,4,Technical Degree,1,2163,1,Female,30,3,1,Research Scientist,3,Divorced,4832,9345,4,Y,Yes,21,3,2,80,1,4,1,3,4,4,2,4
37,No,Travel_Frequently,1016,Sales,14,3,Life Sciences,1,2164,4,Male,64,3,1,Sales Executive,4,Single,13799,23751,5,Y,No,11,4,3,80,3,13,2,3,8,3,0,6
53,No,Travel_Rarely,1455,Sales,23,3,Medical,1,2165,2,Female,100,3,2,Sales Executive,4,Married,4474,12268,6,Y,No,15,3,3,80,2,16,4,2,7,4,1,2
38,Yes,Travel_Rarely,827,Human Resources,14,2,Marketing,1,2166,2,Female,81,2,3,Laboratory Technician,3,Divorced,17626,23608,8,Y,No,19,3,2,80,0,7,2,1,0,0,11,0
18,No,Travel_Rarely,394,Research & Development,14,2,Life Sciences,1,2167,1,Male,57,4,1,Research Scientist,3,Divorced,3590,2094,7,Y,No,18,3,2,80,0,0,2,2,0,0,3,0
54,No,Travel_Rarely,772,Sales,16,2,Other,1,2168,3,Female,75,3,3,Sales Executive,3,Single,15249,18815,9,Y,Yes,14,3,2,80,0,10,4,2,7,0,2,0
35,No,Travel_Rarely,931,Sales,13,4,Life Sciences,1,2169,4,Male,65,3,3,Laboratory Technician,2,Single,11250,22792,2,Y,No,11,3,3,80,2,11,2,3,10,3,3,7
43,Yes,Travel_Frequently,496,Human Resources,6,3,Human Resources,1,2170,2,Male,53,3,1,Manager,4,Single,11649,2094,3,Y,No,20,4,2,80,0,0,4,3,0,0,0,0
47,No,Travel_Frequently,102,Research & Development,12,2,Marketing,1,2171,1,Male,61,3,4,Sales Representative,1,Divorced,2578,22958,5,Y,No,20,3,3,80,1,10,3,3,10,1,0,10
41,Yes,Travel_Frequently,344,Research & Development,7,3,Medical,1,2172,1,Female,86,3,4,Healthcare Representative,4,Single,6706,11628,6,Y,No,21,3,1,80,1,23,4,2,0,0,2,0
29,No,Travel_Rarely,911,Research & Development,11,4,Life Sciences,1,2173,3,Female,54,3,2,Sales Executive,1,Single,2965,24203,4,Y,Yes,14,3,3,80,0,11,5,3,5,2,1,4
18,No,Travel_Rarely,1098,Sales,9,3,Medical,1,2174,3,Female,66,3,2,Laboratory Technician,3,Married,6994,2094,7,Y,No,16,3,4,80,2,0,5,3,0,0,2,0
59,No,Non-Travel,550,Research & Development,13,1,Medical,1,2175,1,Male,56,3,1,Laboratory Technician,4,Married,1009,14235,5,Y,No,14,4,3,80,1,11,4,3,9,0,6,0
54,No,Non-Travel,469,Research & Development,1,4,Medical,1,2176,4,Female,57,2,1,Sales Executive,1,Divorced,5369,7320,2,Y,No,17,3,3,80,1,6,4,2,6,3,2,6
28,No,Travel_Frequently,1014,Research & Development,5,4,Medical,1,2177,2,Male,58,3,1,Research Scientist,3,Married,10784,12203,4,Y,No,14,4,4,80,1,9,4,2,8,8,5,0
41,No,Travel_Rarely,923,Sales,13,1,Other,1,2178,4,Female,91,3,2,Sales Executive,3,Single,1009,2113,4,Y,Yes,20,3,3,80,0,23,2,2,10,5,4,4
44,Yes,Travel_Rarely,319,Sales,4,2,Medical,1,2179,2,Male,46,3,3,Manager,3,Divorced,1009,19856,0,Y,No,16,3,3,80,1,5,2,3,3,3,5,3
30,No,Non-Travel,1259,Sales,19,3,Life Sciences,1,2180,1,Male,100,2,2,Manufacturing Director,2,Single,2585,17126,0,Y,No,13,3,3,80,0,12,4,2,8,6,0,3
32,No,Travel_Rarely,763,Research & Development,19,3,Life Sciences,1,2181,2,Female,83,3,1,Research Scientist,3,Married,2396,9336,3,Y,No,11,4,3,80,1,3,2,2,3,1,4,1
43,No,Travel_Rarely,908,Research & Development,16,4,Life Sciences,1,2182,4,Female,64,3,2,Laboratory Technician,3,Married,8915,15621,4,Y,No,21,3,2,80,0,1,1,2,1,1,12,1
41,No,Travel_Rarely,1001,Sales,19,2,Technical Degree,1,2183,4,Male,88,1,3,Sales Executive,4,Single,1009,8236,4,Y,Yes,14,3,4,80,0,16,4,1,6,3,1,2
38,Yes,Travel_Rarely,1450,Sales,1,1,Medical,1,2184,1,Male,44,2,2,Healthcare Representative,1,Single,2158,12069,4,Y,No,14,4,4,80,0,0,2,3,0,0,4,0
33,No,Travel_Rarely,1011,Research & Development,1,2,Medical,1,2185,2,Male,58,3,2,Research Director,3,Married,12769,24396,4,Y,No,17,3,2,80,0,4,2,2,4,4,0,0
56,No,Travel_Frequently,242,Research & Development,5,3,Other,1,2186,2,Male,70,3,2,Research Scientist,1,Married,2377,12982,5,Y,No,14,3,3,80,1,6,2,2,3,3,5,3
34,No,Travel_Rarely,975,Sales,8,3,Technical Degree,1,2187,3,Male,70,3,2,Laboratory Technician,3,Single,7782,26999,1,Y,Yes,18,3,3,80,1,16,5,4,12,1,5,4
29,No,Travel_Frequently,102,Human Resources,1,3,Other,1,2188,1,Female,35,3,2,Research Director,3,Divorced,7630,6430,3,Y,Yes,17,3,3,80,2,0,5,2,0,0,0,0
42,No,Travel_Rarely,1499,Research & Development,8,3,Other,1,2189,2,Male,66,3,3,Laboratory Technician,2,Single,8040,21047,4,Y,No,17,3,4,80,1,17,3,2,6,5,0,4
33,No,Travel_Rarely,1102,Sales,11,2,Life Sciences,1,2190,1,Male,79,2,2,Sales Executive,4,Single,2997,25784,6,Y,No,17,3,3,80,1,0,2,2,0,0,0,0
29,No,Non-Travel,1120,Research & Development,1,3,Marketing,1,2191,2,Female,76,3,3,Research Scientist,3,Married,7220,7397,5,Y,No,15,3,3,80,0,8,4,2,8,5,1,5
27,No,Non-Travel,929,Research & Development,11,3,Medical,1,2192,4,Male,78,2,1,Research Scientist,1,Married,2515,4490,3,Y,No,15,3,2,80,2,9,3,3,9,2,0,1
44,No,Travel_Rarely,711,Sales,13,1,Medical,1,2193,4,Male,100,3,2,Sales Representative,3,Divorced,5791,26999,5,Y,No,12,3,1,80,2,13,3,2,0,0,3,0
28,Yes,Travel_Rarely,613,Research & Development,1,3,Medical,1,2194,4,Male,69,4,2,Research Scientist,4,Married,7778,12130,5,Y,Yes,11,3,3,80,1,8,2,2,1,1,8,1
50,No,Travel_Rarely,477,Sales,3,4,Medical,1,2195,3,Male,49,1,1,Research Scientist,3,Single,5027,23603,0,Y,No,11,4,3,80,1,11,4,2,0,0,7,0
42,Yes,Non-Travel,1020,Sales,4,3,Life Sciences,1,2196,1,Male,77,2,3,Laboratory Technician,3,Single,13047,17493,6,Y,No,11,3,2,80,1,13,2,3,13,1,5,6
41,No,Non-Travel,102,Sales,1,3,Life Sciences,1,2197,3,Male,85,2,1,Research Scientist,3,Single,13257,9728,3,Y,No,11,3,4,80,1,16,2,4,2,2,4,2
30,No,Travel_Frequently,1024,Research & Development,12,2,Medical,1,2198,1,Male,67,4,1,Research Scientist,3,Single,8784,6187,4,Y,No,17,3,1,80,1,12,3,2,2,2,6,2
41,No,Travel_Rarely,1499,Research & Development,8,3,Life Sciences,1,2199,3,Female,61,3,2,Sales Executive,2,Married,1009,8921,3,Y,No,15,3,3,80,1,7,3,4,7,5,0,4
32,No,Travel_Rarely,1274,Sales,1,3,Life Sciences,1,2200,4,Male,100,4,1,Manager,4,Divorced,8480,18334,8,Y,No,11,3,2,80,1,14,4,3,10,3,8,3
33,No,Travel_Rarely,860,Sales,11,2,Life Sciences,1,2201,4,Female,79,3,3,Sales Executive,3,Divorced,1009,15176,4,Y,No,19,3,3,80,1,15,0,3,11,5,2,4
39,No,Travel_Rarely,1026,Research & Development,20,3,Marketing,1,2202,2,Male,43,3,4,Laboratory Technician,3,Married,9532,9642,4,Y,No,15,3,2,80,1,8,4,4,3,1,0,2
48,No,Non-Travel,595,Sales,6,3,Life Sciences,1,2203,3,Female,49,3,3,Research Director,4,Single,6680,12156,6,Y,No,15,4,3,80,0,22,2,3,2,2,3,0
24,No,Travel_Rarely,980,Sales,8,2,Life Sciences,1,2204,4,Female,51,2,2,Manufacturing Director,3,Single,3122,15269,1,Y,No,18,3,3,80,0,6,3,2,6,5,2,6
36,No,Travel_Rarely,102,Sales,3,4,Life Sciences,1,2205,4,Male,95,4,1,Human Resources,3,Married,1648,18941,5,Y,No,17,4,3,80,0,15,3,2,11,4,0,6
40,No,Travel_Rarely,1333,Sales,1,5,Medical,1,2206,2,Male,40,3,1,Laboratory Technician,3,Married,4875,8106,3,Y,No,14,3,3,80,1,18,3,3,11,10,6,6
30,No,Non-Travel,748,Research & Development,7,2,Medical,1,2207,1,Female,90,2,2,Healthcare Representative,1,Single,15736,13334,0,Y,Yes,19,3,4,80,1,11,2,2,8,4,6,7
